"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"3001 Halden";.;.;.;.;.;318.2
"3002 Moss";.;.;.;.;.;309.5
"3003 Sarpsborg";.;.;.;.;.;330.9
"3004 Fredrikstad";.;.;.;.;.;303.2
"3005 Drammen";.;.;.;.;.;368.3
"3006 Kongsberg";.;.;.;.;.;247.9
"3007 Ringerike";.;.;.;.;.;265.1
"3011 Hvaler";.;.;.;.;.;150.0
"3012 Aremark";.;.;.;.;.;136.0
"3013 Marker";.;.;.;.;.;352.0
"3014 Indre Østfold";.;.;.;.;.;228.7
"3015 Skiptvet";.;.;.;.;.;252.0
"3016 Rakkestad";.;.;.;.;.;232.5
"3017 Råde";.;.;.;.;.;286.0
"3018 Våler (Østfold)";.;.;.;.;.;257.7
"3019 Vestby";.;.;.;.;.;352.7
"3020 Nordre Follo";.;.;.;.;.;355.5
"3021 Ås";.;.;.;.;.;249.3
"3022 Frogn";.;.;.;.;.;290.5
"3023 Nesodden";.;.;.;.;.;266.1
"3024 Bærum";.;.;.;.;.;365.7
"3025 Asker";.;.;.;.;.;292.0
"3026 Aurskog-Høland";.;.;.;.;.;293.6
"3027 Rælingen";.;.;.;.;.;309.5
"3028 Enebakk";.;.;.;.;.;310.6
"3029 Lørenskog";.;.;.;.;.;410.4
"3030 Lillestrøm";.;.;.;.;.;376.9
"3031 Nittedal";.;.;.;.;.;343.9
"3032 Gjerdrum";.;.;.;.;.;303.0
"3033 Ullensaker";.;.;.;.;.;354.1
"3034 Nes";.;.;.;.;.;265.3
"3035 Eidsvoll";.;.;.;.;.;320.7
"3036 Nannestad";.;.;.;.;.;372.2
"3037 Hurdal";.;.;.;.;.;295.0
"3038 Hole";.;.;.;.;.;218.0
"3039 Flå";.;.;.;.;.;110.0
"3040 Nesbyen";.;.;.;.;.;155.5
"3041 Gol";.;.;.;.;.;501.0
"3042 Hemsedal";.;.;.;.;.;101.3
"3043 Ål";.;.;.;.;.;110.0
"3044 Hol";.;.;.;.;.;132.7
"3045 Sigdal";.;.;.;.;.;97.5
"3046 Krødsherad";.;.;.;.;.;138.0
"3047 Modum";.;.;.;.;.;226.4
"3048 Øvre Eiker";.;.;.;.;.;286.4
"3049 Lier";.;.;.;.;.;288.2
"3050 Flesberg";.;.;.;.;.;318.0
"3051 Rollag";.;.;.;.;.;122.0
"3052 Nore og Uvdal";.;.;.;.;.;117.0
"3053 Jevnaker";.;.;.;.;.;253.0
"3054 Lunner";.;.;.;.;.;275.3
"0101 Halden (-2019)";297.1;298.5;296.3;321.7;323.3;.
"0104 Moss (-2019)";313.3;317.6;320.5;316.9;317.7;.
"0105 Sarpsborg (-2019)";329.3;331.1;329.3;329.0;329.7;.
"0106 Fredrikstad (-2019)";305.1;306.8;310.0;308.4;304.6;.
"0111 Hvaler (-2019)";155.3;158.7;150.3;153.0;152.3;.
"0118 Aremark (-2019)";175.0;182.0;175.0;156.0;148.0;.
"0119 Marker (-2019)";384.0;375.0;376.0;364.0;355.0;.
"0121 Rømskog (-2019)";45.0;42.0;53.0;57.0;55.0;.
"0122 Trøgstad (-2019)";156.3;156.8;152.8;154.8;158.3;.
"0123 Spydeberg (-2019)";231.3;227.7;229.7;238.0;246.3;.
"0124 Askim (-2019)";306.0;306.5;317.3;328.0;322.7;.
"0125 Eidsberg (-2019)";202.6;198.6;188.9;192.4;187.4;.
"0127 Skiptvet (-2019)";254.5;251.5;259.0;243.5;247.5;.
"0128 Rakkestad (-2019)";247.0;249.0;244.3;247.0;239.0;.
"0135 Råde (-2019)";284.7;280.3;286.7;298.0;286.3;.
"0136 Rygge (-2019)";360.6;303.8;305.7;300.8;299.7;.
"0137 Våler (Østfold) (-2019)";225.3;222.3;231.0;233.7;249.3;.
"0138 Hobøl (-2019)";206.3;197.3;201.3;205.0;209.7;.
"0211 Vestby (-2019)";277.5;286.4;293.8;300.4;344.7;.
"0213 Ski (-2019)";362.8;368.8;372.3;371.3;370.0;.
"0214 Ås (-2019)";258.0;259.2;266.4;240.7;245.9;.
"0215 Frogn (-2019)";307.8;312.3;307.0;305.5;300.3;.
"0216 Nesodden (-2019)";256.3;254.9;237.8;237.2;240.0;.
"0217 Oppegård (-2019)";372.5;371.6;340.6;340.8;336.2;.
"0219 Bærum (-2019)";361.8;366.8;367.8;367.8;367.4;.
"0220 Asker (-2019)";300.0;303.5;307.5;300.3;298.4;.
"0221 Aurskog-Høland (-2019)";315.7;320.3;325.3;332.3;330.7;.
"0226 Sørum (-2019)";270.1;310.6;321.1;328.1;320.8;.
"0227 Fet (-2019)";289.4;299.2;306.2;308.4;313.8;.
"0228 Rælingen (-2019)";270.4;284.1;294.0;299.9;299.5;.
"0229 Enebakk (-2019)";245.3;245.2;252.2;257.2;312.4;.
"0230 Lørenskog (-2019)";410.7;421.0;396.3;399.7;404.8;.
"0231 Skedsmo (-2019)";412.9;417.9;421.6;422.8;422.5;.
"0233 Nittedal (-2019)";326.0;332.3;336.9;346.2;344.9;.
"0234 Gjerdrum (-2019)";303.3;302.3;300.7;308.0;300.3;.
"0235 Ullensaker (-2019)";310.9;319.6;326.9;336.9;347.5;.
"0236 Nes (Akershus) (-2019)";241.6;246.0;250.1;253.7;259.4;.
"0237 Eidsvoll (-2019)";299.1;306.8;307.0;312.5;316.9;.
